LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,ALCOHOL,TOT,LT_CAP15,A,2016,9.5,
AUS,ALCOHOL,TOT,LT_CAP15,A,2017,9.5,
AUT,ALCOHOL,TOT,LT_CAP15,A,2016,12.1,
AUT,ALCOHOL,TOT,LT_CAP15,A,2017,12.1,
AUT,ALCOHOL,TOT,LT_CAP15,A,2018,12.2,
BEL,ALCOHOL,TOT,LT_CAP15,A,2016,9.4,
BEL,ALCOHOL,TOT,LT_CAP15,A,2017,9.4,
BEL,ALCOHOL,TOT,LT_CAP15,A,2018,9.4,
CAN,ALCOHOL,TOT,LT_CAP15,A,2016,8.1,
CAN,ALCOHOL,TOT,LT_CAP15,A,2017,8.2,
CAN,ALCOHOL,TOT,LT_CAP15,A,2018,8.2,
CZE,ALCOHOL,TOT,LT_CAP15,A,2016,11.7,D
CZE,ALCOHOL,TOT,LT_CAP15,A,2017,11.6,D
CZE,ALCOHOL,TOT,LT_CAP15,A,2018,11.8,D
DNK,ALCOHOL,TOT,LT_CAP15,A,2016,9.4,
DNK,ALCOHOL,TOT,LT_CAP15,A,2017,9.1,
DNK,ALCOHOL,TOT,LT_CAP15,A,2018,9.7,
FIN,ALCOHOL,TOT,LT_CAP15,A,2016,8.4,
FIN,ALCOHOL,TOT,LT_CAP15,A,2017,8.4,
FIN,ALCOHOL,TOT,LT_CAP15,A,2018,8.4,
FRA,ALCOHOL,TOT,LT_CAP15,A,2016,11.7,
FRA,ALCOHOL,TOT,LT_CAP15,A,2017,11.7,
FRA,ALCOHOL,TOT,LT_CAP15,A,2018,11.6,
DEU,ALCOHOL,TOT,LT_CAP15,A,2016,10.9,
DEU,ALCOHOL,TOT,LT_CAP15,A,2017,10.8,
DEU,ALCOHOL,TOT,LT_CAP15,A,2018,10.8,
GRC,ALCOHOL,TOT,LT_CAP15,A,2016,6.4,
GRC,ALCOHOL,TOT,LT_CAP15,A,2017,6.4,
GRC,ALCOHOL,TOT,LT_CAP15,A,2018,6.1,
HUN,ALCOHOL,TOT,LT_CAP15,A,2016,11.1,
HUN,ALCOHOL,TOT,LT_CAP15,A,2017,10.7,
ISL,ALCOHOL,TOT,LT_CAP15,A,2016,7.5,
ISL,ALCOHOL,TOT,LT_CAP15,A,2017,7.7,
ISL,ALCOHOL,TOT,LT_CAP15,A,2018,7.7,
IRL,ALCOHOL,TOT,LT_CAP15,A,2016,11.2,E
IRL,ALCOHOL,TOT,LT_CAP15,A,2017,11,E
IRL,ALCOHOL,TOT,LT_CAP15,A,2018,11,E
ITA,ALCOHOL,TOT,LT_CAP15,A,2016,7.1,
ITA,ALCOHOL,TOT,LT_CAP15,A,2017,7.4,
ITA,ALCOHOL,TOT,LT_CAP15,A,2018,7.8,
JPN,ALCOHOL,TOT,LT_CAP15,A,2016,7.2,
JPN,ALCOHOL,TOT,LT_CAP15,A,2017,7.2,
JPN,ALCOHOL,TOT,LT_CAP15,A,2018,7.2,
KOR,ALCOHOL,TOT,LT_CAP15,A,2016,8.7,
KOR,ALCOHOL,TOT,LT_CAP15,A,2017,8.7,
KOR,ALCOHOL,TOT,LT_CAP15,A,2018,8.5,
LUX,ALCOHOL,TOT,LT_CAP15,A,2016,11.3,D
LUX,ALCOHOL,TOT,LT_CAP15,A,2017,11.3,D
LUX,ALCOHOL,TOT,LT_CAP15,A,2018,11,D
MEX,ALCOHOL,TOT,LT_CAP15,A,2016,4.4,D
NLD,ALCOHOL,TOT,LT_CAP15,A,2016,8.2,
NLD,ALCOHOL,TOT,LT_CAP15,A,2017,8.3,
NLD,ALCOHOL,TOT,LT_CAP15,A,2018,8.3,
NZL,ALCOHOL,TOT,LT_CAP15,A,2016,8.9,
NZL,ALCOHOL,TOT,LT_CAP15,A,2017,8.8,
NZL,ALCOHOL,TOT,LT_CAP15,A,2018,8.8,
NOR,ALCOHOL,TOT,LT_CAP15,A,2016,6,
NOR,ALCOHOL,TOT,LT_CAP15,A,2017,6,
NOR,ALCOHOL,TOT,LT_CAP15,A,2018,6,
POL,ALCOHOL,TOT,LT_CAP15,A,2016,10.5,
POL,ALCOHOL,TOT,LT_CAP15,A,2017,10.6,
POL,ALCOHOL,TOT,LT_CAP15,A,2018,10.7,
PRT,ALCOHOL,TOT,LT_CAP15,A,2016,10.4,
PRT,ALCOHOL,TOT,LT_CAP15,A,2017,10.4,
PRT,ALCOHOL,TOT,LT_CAP15,A,2018,10.4,
SVK,ALCOHOL,TOT,LT_CAP15,A,2016,9.9,
SVK,ALCOHOL,TOT,LT_CAP15,A,2017,9.7,
SVK,ALCOHOL,TOT,LT_CAP15,A,2018,10.1,
ESP,ALCOHOL,TOT,LT_CAP15,A,2016,10.8,
ESP,ALCOHOL,TOT,LT_CAP15,A,2017,10.8,
ESP,ALCOHOL,TOT,LT_CAP15,A,2018,10.4,
SWE,ALCOHOL,TOT,LT_CAP15,A,2016,7.2,
SWE,ALCOHOL,TOT,LT_CAP15,A,2017,7,
SWE,ALCOHOL,TOT,LT_CAP15,A,2018,7.2,
CHE,ALCOHOL,TOT,LT_CAP15,A,2016,9.3,
CHE,ALCOHOL,TOT,LT_CAP15,A,2017,9.2,
CHE,ALCOHOL,TOT,LT_CAP15,A,2018,9.1,
TUR,ALCOHOL,TOT,LT_CAP15,A,2016,1.3,
TUR,ALCOHOL,TOT,LT_CAP15,A,2017,1.4,
TUR,ALCOHOL,TOT,LT_CAP15,A,2018,1.4,
GBR,ALCOHOL,TOT,LT_CAP15,A,2016,9.5,
GBR,ALCOHOL,TOT,LT_CAP15,A,2017,9.7,
GBR,ALCOHOL,TOT,LT_CAP15,A,2018,9.8,
USA,ALCOHOL,TOT,LT_CAP15,A,2016,8.9,
USA,ALCOHOL,TOT,LT_CAP15,A,2017,8.9,
BRA,ALCOHOL,TOT,LT_CAP15,A,2016,6.3,
BRA,ALCOHOL,TOT,LT_CAP15,A,2017,6.2,
BRA,ALCOHOL,TOT,LT_CAP15,A,2018,6.2,
CHL,ALCOHOL,TOT,LT_CAP15,A,2016,7.9,E
CHN,ALCOHOL,TOT,LT_CAP15,A,2016,5.6,
CHN,ALCOHOL,TOT,LT_CAP15,A,2017,5.6,
CHN,ALCOHOL,TOT,LT_CAP15,A,2018,5.6,
EST,ALCOHOL,TOT,LT_CAP15,A,2016,10.2,D
EST,ALCOHOL,TOT,LT_CAP15,A,2017,10.3,D
EST,ALCOHOL,TOT,LT_CAP15,A,2018,10.1,D
IND,ALCOHOL,TOT,LT_CAP15,A,2016,3,
IND,ALCOHOL,TOT,LT_CAP15,A,2017,2.9,
IND,ALCOHOL,TOT,LT_CAP15,A,2018,3.1,
IDN,ALCOHOL,TOT,LT_CAP15,A,2016,0.1,
IDN,ALCOHOL,TOT,LT_CAP15,A,2017,0.1,
IDN,ALCOHOL,TOT,LT_CAP15,A,2018,0.1,
ISR,ALCOHOL,TOT,LT_CAP15,A,2016,2.7,
ISR,ALCOHOL,TOT,LT_CAP15,A,2017,3,
ISR,ALCOHOL,TOT,LT_CAP15,A,2018,3,
RUS,ALCOHOL,TOT,LT_CAP15,A,2016,12.1,
RUS,ALCOHOL,TOT,LT_CAP15,A,2017,11.2,
RUS,ALCOHOL,TOT,LT_CAP15,A,2018,11.2,
SVN,ALCOHOL,TOT,LT_CAP15,A,2016,10.5,
SVN,ALCOHOL,TOT,LT_CAP15,A,2017,10.1,
SVN,ALCOHOL,TOT,LT_CAP15,A,2018,10,
ZAF,ALCOHOL,TOT,LT_CAP15,A,2016,7.3,
ZAF,ALCOHOL,TOT,LT_CAP15,A,2017,7.3,
ZAF,ALCOHOL,TOT,LT_CAP15,A,2018,7.3,
COL,ALCOHOL,TOT,LT_CAP15,A,2016,4.5,
COL,ALCOHOL,TOT,LT_CAP15,A,2017,4.3,
COL,ALCOHOL,TOT,LT_CAP15,A,2018,4.3,
LVA,ALCOHOL,TOT,LT_CAP15,A,2016,11.3,
LVA,ALCOHOL,TOT,LT_CAP15,A,2017,12.6,
LVA,ALCOHOL,TOT,LT_CAP15,A,2018,12.6,
LTU,ALCOHOL,TOT,LT_CAP15,A,2016,13.2,
LTU,ALCOHOL,TOT,LT_CAP15,A,2017,12.3,
LTU,ALCOHOL,TOT,LT_CAP15,A,2018,11.2,P
CRI,ALCOHOL,TOT,LT_CAP15,A,2016,3.8,
CRI,ALCOHOL,TOT,LT_CAP15,A,2017,3.8,
CRI,ALCOHOL,TOT,LT_CAP15,A,2018,3.8,
